questionNo,questionText,answerWorthPoints1,answerWorthPoints2
1,"S/he often notices small sounds when others do not",1,2
2,"S/he usually concentrates more on the whole picture rather than the small details",3,4
3,"In a social group s/he can easily keep track of several different people’s conversations",3,4
4,"S/he finds it easy to go back and forth between different activities",3,4
5,"S/he doesn’t know how to keep a conversation going with his/her peers",1,2
6,"S/he is good at social chit-chat",3,4
7,"When s/he is read a story s/he finds it difficult to work out the character’s intentions or feelings",1,2
8,"When s/he was in preschool s/he used to enjoy playing games involving pretending with other children",3,4
9,"S/he finds it easy to work out what someone is thinking or feeling just by looking at their face",3,4
10,"S/he finds it hard to make new friends",1,2
